"","Bediensteten","Cinestar","City Port","Kronberger Hof","Leitrechner","Loehrstrasse","Rathaus","Rheinufergarage","Roemisches Theater","Schillerplatz","Taubertsberg","TG Augustusplatz","Uniklinikum","Wallstrasse","Zollhafen","Gesamtergebnis"
"13:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"13:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"13:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"14:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"14:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"14:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"14:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"15:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"15:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"15:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"15:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"16:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"16:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"16:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"16:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"17:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"17:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"17:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"17:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"18:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"18:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"18:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"18:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"19:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"19:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"19:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"19:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"20:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"20:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"20:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"20:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"21:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"21:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"21:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"21:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"22:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"22:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"22:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"22:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"23:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"23:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"23:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"23:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"05.01.2017","491","336","873","415","1.889","145","515","497","433","420","767","579","3.705","303","","11.368"
"00:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"00:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"00:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"00:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"01:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"01:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"01:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"01:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
